Agriculture and Food Production,the Influence of Agriculture and Food Production,Negative Linear
Farm size (hectares),Livestock health (rating)
1.0,5.0
15.27,3.78
29.54,4.12
43.81,4.59
58.09,4.52
72.36,4.54
86.63,4.13
100.9,4.33
115.17,3.98
129.44,4.18
143.71,4.03
157.99,3.56
172.26,3.54
186.53,4.05
200.8,4.39
215.07,3.46
229.34,3.58
243.61,3.22
257.89,3.79
272.16,3.76
286.43,4.36
300.7,3.54
314.97,3.81
329.24,3.55
343.51,2.72
357.79,3.04
372.06,3.45
386.33,3.78
400.6,3.01
414.87,3.29
429.14,2.95
443.41,3.06
457.69,2.98
471.96,2.52
486.23,3.32
500.5,2.92
514.77,3.0
529.04,3.38
543.31,2.74
557.59,3.29
571.86,3.13
586.13,2.04
600.4,2.25
614.67,2.33
628.94,2.64
643.21,2.17
657.49,2.98
671.76,2.72
686.03,2.64
700.3,2.53
714.57,2.2
728.84,1.83
743.11,2.26
757.39,2.42
771.66,2.4
785.93,1.84
800.2,2.06
814.47,2.12
828.74,2.04
843.01,1.53
857.29,1.94
871.56,2.15
885.83,1.84
900.1,1.89
914.37,1.62
928.64,2.08
942.91,2.18
957.19,1.0
971.46,1.66
985.73,1.55
1000.0,1.36
